ld;2;2022 09 05 22 09;FA;P1;11.00;12.00;4.00;6.00;0.00;7.00;9.00;2.00;P2;2.00;12.00;0.00;11.00;7.00;9.00;4.00;6.00
ld;2;2022 09 05 22 09;OM;P1;12.00;9.00;2.00;6.00;4.00;11.00;0.00;7.00;P2;10.00;12.00;11.00;7.00;6.00;0.00;4.00;2.00
ld;2;2022 09 05 22 09;FA;P1;4.00;6.00;0.00;7.00;2.00;9.00;11.00;12.00;P2;9.00;0.00;12.00;6.00;7.00;2.00;11.00;4.00
ld;2;2022 09 05 22 09;OM;P1;12.00;9.00;0.00;11.00;6.00;2.00;4.00;7.00;P2;2.00;12.00;11.00;0.00;5.00;4.00;9.00;7.00
ld;2;2022 09 05 22 09;FA;P1;12.00;0.00;9.00;11.00;4.00;7.00;6.00;2.00;P2;12.00;7.00;0.00;6.00;4.00;2.00;11.00;9.00
ld;2;2022 09 05 22 09;OM;P1;11.00;4.00;7.00;9.00;0.00;12.00;6.00;2.00;P2;7.00;5.00;2.00;11.00;4.00;12.00;9.00;0.00
ld;2;2022 09 05 22 09;FA;P1;4.00;2.00;6.00;9.00;11.00;12.00;0.00;7.00;P2;0.00;12.00;6.00;7.00;9.00;11.00;2.00;4.00
ld;2;2022 09 05 22 17
ld;2;2022 09 05 22 17;OM;P1;4.00;7.00;0.00;9.00;6.00;2.00;11.00;12.00;P2;4.00;11.00;5.00;7.00;12.00;2.00;0.00;9.00
ld;2;2022 09 05 22 17;FA;P1;11.00;6.00;2.00;4.00;0.00;9.00;7.00;12.00;P2;6.00;12.00;9.00;11.00;7.00;4.00;0.00;2.00
ld;2;2022 09 05 22 17;OM;P1;11.00;6.00;7.00;9.00;0.00;4.00;2.00;12.00;P2;4.00;0.00;2.00;7.00;12.00;9.00;5.00;11.00
ld;2;2022 09 05 22 17;FA;P1;7.00;0.00;11.00;2.00;12.00;4.00;9.00;6.00;P2;2.00;4.00;6.00;0.00;11.00;7.00;9.00;12.00
ld;2;2022 09 05 22 17;FA;P1;2.00;4.00;11.00;0.00;6.00;7.00;12.00;9.00;P2;0.00;11.00;4.00;7.00;2.00;12.00;9.00;6.00
ld;2;2022 09 05 22 17;OM;P1;12.00;6.00;9.00;7.00;2.00;0.00;4.00;11.00;P2;11.00;10.00;2.00;0.00;7.00;12.00;6.00;4.00
ld;2;2022 09 05 22 17;FA;P1;0.00;11.00;6.00;2.00;9.00;12.00;4.00;7.00;P2;4.00;0.00;11.00;9.00;7.00;12.00;6.00;2.00
ld;2;2022 09 05 22 17;OM;P1;11.00;7.00;6.00;12.00;4.00;2.00;9.00;0.00;P2;0.00;2.00;7.00;11.00;9.00;12.00;4.00;5.00
ld;2;2022 09 05 22 17;OM;P1;11.00;0.00;7.00;2.00;4.00;9.00;12.00;6.00;P2;1.00;0.00;7.00;6.00;4.00;9.00;12.00;11.00
ld;2;2022 09 05 22 17;FA;P1;7.00;2.00;12.00;11.00;4.00;0.00;6.00;9.00;P2;2.00;4.00;12.00;0.00;7.00;9.00;6.00;11.00
ld;2;2022 09 05 22 17;FA;P1;11.00;2.00;4.00;0.00;12.00;9.00;6.00;7.00;P2;11.00;6.00;4.00;12.00;0.00;9.00;2.00;7.00
ld;2;2022 09 05 22 17;FA;P1;2.00;11.00;4.00;6.00;12.00;9.00;0.00;7.00;P2;2.00;11.00;0.00;4.00;9.00;12.00;6.00;7.00
ld;2;2022 09 05 22 17;OM;P1;7.00;6.00;12.00;0.00;11.00;4.00;9.00;2.00;P2;6.00;4.00;9.00;11.00;7.00;1.00;12.00;0.00
ld;2;2022 09 05 22 17;FA;P1;12.00;11.00;9.00;7.00;6.00;0.00;2.00;4.00;P2;11.00;12.00;7.00;2.00;6.00;4.00;0.00;9.00
ld;2;2022 09 05 22 17;OM;P1;2.00;4.00;9.00;7.00;6.00;12.00;0.00;11.00;P2;9.00;0.00;7.00;4.00;6.00;1.00;11.00;12.00
ld;2;2022 09 05 22 17;OM;P1;11.00;7.00;12.00;2.00;9.00;0.00;4.00;6.00;P2;1.00;9.00;7.00;6.00;11.00;4.00;12.00;0.00
ld;2;2022 09 05 22 30
ld;2;2022 09 05 22 30;FA;P1;11.00;12.00;2.00;9.00;4.00;0.00;7.00;6.00;P2;9.00;4.00;0.00;2.00;7.00;12.00;11.00;6.00
ld;2;2022 09 05 22 30;FA;P1;12.00;6.00;0.00;9.00;2.00;4.00;7.00;11.00;P2;0.00;12.00;2.00;7.00;6.00;9.00;11.00;4.00
ld;2;2022 09 05 22 30;FA;P1;0.00;9.00;12.00;2.00;6.00;7.00;4.00;11.00;P2;11.00;7.00;9.00;2.00;4.00;12.00;6.00;0.00
ld;2;2022 09 05 22 30;OM;P1;2.00;6.00;9.00;0.00;12.00;7.00;11.00;4.00;P2;0.00;2.00;12.00;9.00;11.00;7.00;5.00;4.00
